title,year,total_sales
Game of Thrones: A Telltale Games Series,2014.0,0.04
Imagine: Music Fest,2009.0,0.16
MotoGP 2: Ultimate Racing Technology,2002.0,0.15
School Days LxH,2008.0,0.02
"Asaki, Yumemishi",2011.0,0.01
Bridge Constructor Portal,2018.0,0.03
Minna no Chizu,2006.0,0.04
Railfan,2006.0,0.01
Space Chimps,2008.0,0.11
Neopets: The Darkest Faerie,2005.0,0.3
Cruis'n Velocity,2001.0,0.0
True Fortune,2008.0,0.0
Senritsu no Stratus,2011.0,0.06
SingStar Mallorca Party,2009.0,0.05
NBA 2K7,2006.0,0.38
Need for Speed: Most Wanted,2005.0,0.56
MLB Power Pros,2007.0,0.29
Tumblestone,2016.0,0.03
GRID 2,2013.0,0.27
Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,2007.0,0.05
Koihime Musou,2008.0,0.05
Ace Attorney Investigations: Miles Edgeworth,2010.0,0.7
Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,2017.0,0.03
Littlest Pet Shop,2008.0,0.4
Action Girlz Racing,2008.0,0.01
Forza Motorsport 4,2011.0,4.6
Bakugan: Rise of the Resistance,2011.0,0.08
Final Fantasy IV Advance,2005.0,0.61
LEGO Rock Band,2009.0,0.42
Gintama Ranbu,2018.0,0.06
Tank Beat,2007.0,0.03
Dragon Tales: Dragon Adventures,2004.0,0.02
Pro Farm 1,2011.0,0.07
Luminous Arc Infinity,2015.0,0.06
ESA Foundation Compilation,2005.0,0.19
Shin Megami Tensei: Persona 3 FES,2008.0,0.63
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,2011.0,0.03
Tom Clancy's Rainbow Six: Patriots,2014.0,0.0
Shantae and the Pirate's Curse,2016.0,0.1
TOCA Race Driver 3: The Ultimate Racing Simulator,2006.0,0.02
Marc Ecko's Getting Up: Contents Under Pressure,2006.0,0.0
Colin McRae Rally 3,2003.0,1.4
Mojo!,2003.0,0.03
Real Rode,2008.0,0.01
Kamen Rider Ryuki,2002.0,0.14
Burnout Dominator,2007.0,0.45
LEGO Dimensions,2015.0,0.65
Batman: Arkham Origins Blackgate,2013.0,0.48
NBA 2K3,2002.0,0.32
Sports Collection,2010.0,0.08
Bass Pro Shops: The Hunt,2010.0,0.09
Shadow Man: 2econd Coming,2002.0,0.16
XGRA: Extreme G Racing Association,2003.0,0.06
Bratz Ponyz,2007.0,0.28
NHL 09,2008.0,0.5
Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,2010.0,0.12
Yosumin. DS,2007.0,0.01
Blackguards 2,2017.0,0.03
Woody Woodpecker Racing,2000.0,0.11
Science Papa,2009.0,0.13
MLB SlugFest 20-04,2003.0,0.0
Winter Blast: 9 Snow & Ice Games,2010.0,0.02
Summon Night: Twin Age,2008.0,0.13
ef - a fairy tale of the two.,2010.0,0.01
"Crouching Tiger, Hidden Dragon",2003.0,0.13
Dangerous Waters,2006.0,0.01
WWE '12,2011.0,0.34
Assassin's Creed: Altair's Chronicles,2008.0,0.27
NHL Hitz 20-02,2001.0,0.27
Tak 2: The Staff of Dreams,2004.0,0.33
SSX On Tour,2005.0,0.17
Happy Manager: Shiawase Zhuang no Kanrinin San,2018.0,0.01
Summer Athletics: The Ultimate Challenge (Others sales),2008.0,0.22
Urban Chaos: Riot Response,2006.0,0.06
Monster Hunter Frontier Online: Forward 1,2011.0,0.03
MVP Baseball 2004,2004.0,0.26
Quiz Mobile Gundam: Toi Senshi DX,2006.0,0.04
CSI: Hard Evidence,2007.0,0.1
Interactive Storybook DS Series 3,2007.0,0.02
Rome: Total War - Gold Edition,2006.0,0.03
F1 2010,2010.0,1.34
Barbie as The Island Princess,2007.0,0.45
My Secret Diary,2009.0,0.0
S.L.A.I.: Steel Lancer Arena International,2005.0,0.03
Red Faction: Guerrilla,2009.0,0.87
Star Wars Battlefront II,2005.0,0.18
Occultic;Nine,2017.0,0.01
Help Wanted: 50 Wacky Jobs (jp sales),2009.0,0.01
Master of Illusion,2007.0,0.43
The Sims 3: Town Life Stuff,2011.0,0.34
Driver: Parallel Lines,2007.0,0.03
Cross Edge,2009.0,0.23
The King of Fighters 02/03,2005.0,0.03
Burnout 2: Point of Impact,2003.0,0.24
Billiards,2001.0,0.45
Madagascar: Operation Penguin,2005.0,0.48
Galactic Taz Ball,2010.0,0.09
Destiny 2,2017.0,2.35
Hakuouki DS,2010.0,0.07
Game of Thrones: A Telltale Games Series,2014.0,0.04
Puyo Puyo Tetris,2014.0,0.06
Hiiro no Kakera: Shin Tamayori Hime Denshou,2009.0,0.01
Beowulf: The Game,2007.0,0.09
Cars 3: Driven to Win,2017.0,0.32
Monster Jam: Urban Assault,2008.0,0.09
Take A Break's: Puzzle Bonanza,2010.0,0.01
Beast Quest,2018.0,0.03
Top Spin 4,2011.0,0.14
Rhythm Heaven Fever,2012.0,0.89
Gravity Games Bike: Street Vert Dirt,2002.0,0.01
Game & Watch Gallery 4,2002.0,0.61
Sin and Punishment,2000.0,0.13
LEGO City Undercover,2017.0,0.65
Konami Krazy Racers,2001.0,0.16
Tiger Woods PGA Tour 10,2009.0,0.26
Spanish for Everyone!,2007.0,0.02
